Fecha	PAH
1.00E+00	1.00
2.00E+00	             NaN
3.00E+00	             NaN
4.00E+00	             NaN
5.00E+00	7.00
6.00E+00	             NaN
7.00E+00	             NaN
8.00E+00	             NaN
9.00E+00	             NaN
1.00E+01	             NaN
1.10E+01	             NaN
1.20E+01	             NaN
1.30E+01	5.00
1.40E+01	             NaN
1.50E+01	             NaN
1.60E+01	             NaN
1.70E+01	             NaN
1.80E+01	             NaN
1.90E+01	             NaN
2.00E+01	             NaN
2.10E+01	12.00
2.20E+01	             NaN
2.30E+01	             NaN
2.40E+01	             NaN
2.50E+01	             NaN
2.60E+01	             NaN
2.70E+01	             NaN
2.80E+01	             NaN
2.90E+01	8.00
3.00E+01	             NaN
3.10E+01	             NaN
3.20E+01	             NaN
3.30E+01	             NaN
3.40E+01	             NaN
3.50E+01	             NaN
3.60E+01	             NaN
3.70E+01	17.00
3.80E+01	             NaN
3.90E+01	             NaN
4.00E+01	             NaN
4.10E+01	             NaN
4.20E+01	             NaN
4.30E+01	             NaN
4.40E+01	             NaN
4.50E+01	6.00
4.60E+01	             NaN
4.70E+01	             NaN
4.80E+01	             NaN
4.90E+01	             NaN
5.00E+01	             NaN
5.10E+01	             NaN
5.20E+01	             NaN
5.30E+01	7.00
5.40E+01	             NaN
5.50E+01	             NaN
5.60E+01	             NaN
5.70E+01	             NaN
5.80E+01	             NaN
5.90E+01	             NaN
1.00E+02	             NaN
1.01E+02	3.00
1.02E+02	             NaN
1.03E+02	             NaN
1.04E+02	             NaN
1.05E+02	             NaN
1.06E+02	             NaN
1.07E+02	             NaN
1.08E+02	             NaN
1.09E+02	17.00
1.10E+02	             NaN
1.11E+02	             NaN
1.12E+02	             NaN
1.13E+02	             NaN
1.14E+02	             NaN
1.15E+02	             NaN
1.16E+02	             NaN
1.17E+02	1.00
1.18E+02	             NaN
1.19E+02	             NaN
1.20E+02	             NaN
1.21E+02	             NaN
1.22E+02	             NaN
1.23E+02	             NaN
1.24E+02	             NaN
1.25E+02	6.00
1.26E+02	             NaN
1.27E+02	             NaN
1.28E+02	             NaN
1.29E+02	             NaN
1.30E+02	             NaN
1.31E+02	             NaN
1.32E+02	             NaN
1.33E+02	10.00
1.34E+02	             NaN
1.35E+02	             NaN
1.36E+02	             NaN
1.37E+02	             NaN
1.38E+02	             NaN
1.39E+02	             NaN
1.40E+02	             NaN
1.41E+02	9.00
1.42E+02	             NaN
1.43E+02	             NaN
1.44E+02	             NaN
1.45E+02	             NaN
1.46E+02	             NaN
1.47E+02	             NaN
1.48E+02	             NaN
1.49E+02	5.00
1.50E+02	             NaN
1.51E+02	             NaN
1.52E+02	             NaN
1.53E+02	             NaN
1.54E+02	             NaN
1.55E+02	             NaN
1.56E+02	             NaN
1.57E+02	9.00
1.58E+02	             NaN
1.59E+02	             NaN
2.00E+02	             NaN
2.01E+02	             NaN
2.02E+02	             NaN
2.03E+02	             NaN
2.04E+02	             NaN
2.05E+02	9.00
2.06E+02	             NaN
2.07E+02	             NaN
2.08E+02	             NaN
2.09E+02	             NaN
2.10E+02	             NaN
2.11E+02	             NaN
2.12E+02	             NaN
2.13E+02	             NaN
2.14E+02	             NaN
2.15E+02	             NaN
2.16E+02	             NaN
2.17E+02	             NaN
2.18E+02	             NaN
2.19E+02	             NaN
2.20E+02	             NaN
2.21E+02	             NaN
2.22E+02	10.00
2.23E+02	             NaN
2.24E+02	             NaN
2.25E+02	             NaN
2.26E+02	             NaN
2.27E+02	             NaN
