start	SUMA
20/04/2017 00:05	1610
20/04/2017 00:14	2058
20/04/2017 00:24	1688
20/04/2017 00:33	1979
20/04/2017 00:43	1453
20/04/2017 00:53	1298
20/04/2017 01:06	1030
20/04/2017 01:16	1325
20/04/2017 01:26	1591
20/04/2017 01:35	1556
20/04/2017 01:45	1360
20/04/2017 01:54	1087
20/04/2017 02:04	1347
20/04/2017 02:13	1446
20/04/2017 02:23	1206
20/04/2017 02:33	1337
20/04/2017 02:42	1478
20/04/2017 02:52	1390
20/04/2017 03:01	1893
20/04/2017 03:11	1049
20/04/2017 03:20	1110
20/04/2017 03:30	1222
20/04/2017 03:40	1223
20/04/2017 03:49	1063
20/04/2017 03:59	1614
20/04/2017 04:08	1126
20/04/2017 04:18	1313
20/04/2017 04:27	1350
20/04/2017 04:37	1562
20/04/2017 04:47	876
20/04/2017 04:56	1452
20/04/2017 05:06	1258
20/04/2017 05:15	2069
20/04/2017 05:25	1239
20/04/2017 05:34	1575
20/04/2017 05:44	1112
20/04/2017 05:54	1813
20/04/2017 06:03	2214
20/04/2017 06:13	2705
20/04/2017 06:22	3117
20/04/2017 06:32	2548
20/04/2017 06:41	2221
20/04/2017 06:51	3096
20/04/2017 07:01	3443
20/04/2017 07:10	3177
20/04/2017 07:20	3933
20/04/2017 07:29	4040
20/04/2017 07:39	4933
20/04/2017 07:48	5450
20/04/2017 07:58	5194
20/04/2017 08:08	5652
20/04/2017 08:17	5561
20/04/2017 08:27	5668
20/04/2017 08:36	5477
20/04/2017 08:46	4644
20/04/2017 08:55	4950
20/04/2017 09:05	5017
20/04/2017 09:15	5096
20/04/2017 09:24	5276
20/04/2017 09:34	5285
20/04/2017 09:43	4320
20/04/2017 09:53	3759
20/04/2017 10:02	3754
20/04/2017 10:12	2736
20/04/2017 10:22	3186
20/04/2017 10:31	2285
20/04/2017 10:41	1752
20/04/2017 10:50	1816
20/04/2017 11:00	1867
20/04/2017 11:09	2359
20/04/2017 11:19	2142
20/04/2017 11:29	2369
20/04/2017 11:38	2108
20/04/2017 11:48	1673
20/04/2017 11:57	2238
20/04/2017 12:07	2033
20/04/2017 12:16	1752
20/04/2017 12:26	2358
20/04/2017 12:36	1994
20/04/2017 12:45	1324
20/04/2017 12:55	1346
20/04/2017 13:04	1588
20/04/2017 13:14	2008
20/04/2017 13:23	1665
20/04/2017 13:33	1707
20/04/2017 13:43	1713
20/04/2017 13:52	1496
20/04/2017 14:02	1554
20/04/2017 14:11	1644
20/04/2017 14:21	1666
20/04/2017 14:30	1583
20/04/2017 14:40	1646
20/04/2017 14:49	1360
20/04/2017 14:59	1478
20/04/2017 15:09	1689
20/04/2017 15:18	2065
20/04/2017 15:28	1531
20/04/2017 15:37	1603
20/04/2017 15:47	1197
20/04/2017 15:56	1385
20/04/2017 16:06	1631
20/04/2017 16:16	1424
20/04/2017 16:25	1393
20/04/2017 16:35	992
20/04/2017 16:44	1575
20/04/2017 16:54	1416
20/04/2017 17:03	1007
20/04/2017 17:13	818
20/04/2017 17:23	1356
20/04/2017 17:32	1235
20/04/2017 17:42	947
20/04/2017 17:51	918
20/04/2017 18:01	1409
20/04/2017 18:10	1331
20/04/2017 18:20	1226
20/04/2017 18:30	1645
20/04/2017 18:39	1526
20/04/2017 18:49	1262
20/04/2017 18:58	1870
20/04/2017 19:08	1746
20/04/2017 19:17	1888
20/04/2017 19:27	1697
20/04/2017 19:37	1448
20/04/2017 19:46	1691
20/04/2017 19:56	1866
20/04/2017 20:05	2361
20/04/2017 20:15	2628
20/04/2017 20:24	2311
20/04/2017 20:34	2609
20/04/2017 20:44	2761
20/04/2017 20:53	3226
20/04/2017 21:03	3009
20/04/2017 21:12	2387
20/04/2017 21:22	2587
20/04/2017 21:31	2886
20/04/2017 21:41	2414
20/04/2017 21:51	2377
20/04/2017 22:00	2145
20/04/2017 22:10	2196
20/04/2017 22:19	2421
20/04/2017 22:29	2219
20/04/2017 22:38	1527
