start	SUMA
01/06/2017 00:04	650
01/06/2017 00:14	784
01/06/2017 00:23	565
01/06/2017 00:33	913
01/06/2017 00:42	757
01/06/2017 00:52	689
01/06/2017 01:06	761
01/06/2017 01:16	446
01/06/2017 01:25	635
01/06/2017 01:35	712
01/06/2017 01:44	567
01/06/2017 01:54	558
01/06/2017 02:04	471
01/06/2017 02:13	507
01/06/2017 02:23	362
01/06/2017 02:32	479
01/06/2017 02:42	643
01/06/2017 02:51	176
01/06/2017 03:01	446
01/06/2017 03:11	530
01/06/2017 03:20	556
01/06/2017 03:30	563
01/06/2017 03:39	665
01/06/2017 03:49	394
01/06/2017 03:58	372
01/06/2017 04:08	384
01/06/2017 04:18	524
01/06/2017 04:27	550
01/06/2017 04:37	315
01/06/2017 04:46	404
01/06/2017 04:56	507
01/06/2017 05:05	971
01/06/2017 05:15	662
01/06/2017 05:25	435
01/06/2017 05:34	664
01/06/2017 05:44	805
01/06/2017 05:53	1010
01/06/2017 06:03	771
01/06/2017 06:12	1342
01/06/2017 06:22	1203
01/06/2017 06:32	1433
01/06/2017 06:41	1458
01/06/2017 06:51	1823
01/06/2017 07:00	1551
01/06/2017 07:10	2176
01/06/2017 07:19	2013
01/06/2017 07:29	1885
01/06/2017 07:39	2240
01/06/2017 07:48	2234
01/06/2017 07:58	2445
01/06/2017 08:07	3071
01/06/2017 08:17	2601
01/06/2017 08:26	1800
01/06/2017 08:36	2006
01/06/2017 08:46	3314
01/06/2017 08:55	1791
01/06/2017 09:05	1747
01/06/2017 09:14	1340
01/06/2017 09:24	1329
01/06/2017 09:33	2223
01/06/2017 09:43	1212
01/06/2017 09:53	1381
01/06/2017 10:02	1164
01/06/2017 10:12	1088
01/06/2017 10:21	1054
01/06/2017 10:31	880
01/06/2017 10:40	1116
01/06/2017 10:50	1677
01/06/2017 11:00	919
01/06/2017 11:09	1326
01/06/2017 11:19	1583
01/06/2017 11:28	681
01/06/2017 11:38	1250
01/06/2017 11:47	850
01/06/2017 11:57	557
01/06/2017 12:07	764
01/06/2017 12:16	911
01/06/2017 12:26	1058
01/06/2017 12:35	959
01/06/2017 12:45	1411
01/06/2017 12:54	820
01/06/2017 13:04	1224
01/06/2017 13:14	1363
01/06/2017 13:23	1191
01/06/2017 13:33	1378
01/06/2017 13:42	790
01/06/2017 13:52	875
01/06/2017 14:01	761
01/06/2017 14:11	1014
01/06/2017 14:21	843
01/06/2017 14:30	1123
01/06/2017 14:40	1365
01/06/2017 14:49	900
01/06/2017 14:59	1112
01/06/2017 15:08	1296
01/06/2017 15:18	1119
01/06/2017 15:28	843
01/06/2017 15:37	1444
01/06/2017 15:47	1136
01/06/2017 15:56	2586
01/06/2017 16:06	2650
01/06/2017 16:15	1445
01/06/2017 16:25	1940
01/06/2017 16:35	3051
01/06/2017 16:44	2595
01/06/2017 16:54	2032
01/06/2017 17:03	1992
01/06/2017 17:13	1684
01/06/2017 17:22	2138
01/06/2017 17:32	2582
01/06/2017 17:42	1935
01/06/2017 17:51	1604
01/06/2017 18:01	1220
01/06/2017 18:10	1819
01/06/2017 18:20	4322
01/06/2017 18:29	2072
01/06/2017 18:39	1555
01/06/2017 18:49	1905
01/06/2017 18:58	1612
01/06/2017 19:08	1532
01/06/2017 19:17	1314
01/06/2017 19:27	1896
01/06/2017 19:36	2389
01/06/2017 19:46	3335
01/06/2017 19:56	3424
01/06/2017 20:05	3564
01/06/2017 20:15	4218
01/06/2017 20:24	5059
01/06/2017 20:34	3499
01/06/2017 20:43	3080
01/06/2017 20:53	2929
01/06/2017 21:03	3090
01/06/2017 21:12	1787
01/06/2017 21:22	1780
01/06/2017 21:31	1198
01/06/2017 21:41	1292
01/06/2017 21:50	1127
01/06/2017 22:00	1515
01/06/2017 22:10	1868
01/06/2017 22:19	2763
01/06/2017 22:29	2400
01/06/2017 22:38	1899
01/06/2017 22:48	1545
01/06/2017 22:57	1372
01/06/2017 23:07	901
01/06/2017 23:17	1471
01/06/2017 23:26	1283
01/06/2017 23:36	1499
01/06/2017 23:45	1055
01/06/2017 23:55	905
02/06/2017 00:04	1195
02/06/2017 00:14	1193
02/06/2017 00:24	1321
02/06/2017 00:33	1079
02/06/2017 00:43	1222
02/06/2017 00:52	894
02/06/2017 01:06	1230
02/06/2017 01:16	1139
02/06/2017 01:25	1274
02/06/2017 01:35	1066
02/06/2017 01:45	1290
02/06/2017 01:54	1177
02/06/2017 02:04	1283
02/06/2017 02:13	1135
02/06/2017 02:23	976
02/06/2017 02:32	937
02/06/2017 02:42	794
02/06/2017 02:52	854
02/06/2017 03:01	575
02/06/2017 03:11	646
02/06/2017 03:20	784
02/06/2017 03:30	818
02/06/2017 03:39	619
02/06/2017 03:49	736
02/06/2017 03:59	332
02/06/2017 04:08	461
02/06/2017 04:18	490
02/06/2017 04:27	493
02/06/2017 04:37	865
02/06/2017 04:46	747
02/06/2017 04:56	838
02/06/2017 05:06	1924
02/06/2017 05:15	1515
02/06/2017 05:25	1508
02/06/2017 05:34	1649
02/06/2017 05:44	1442
02/06/2017 05:53	1685
02/06/2017 06:03	2064
02/06/2017 06:13	1260
02/06/2017 06:22	1233
02/06/2017 06:32	1885
02/06/2017 06:41	2613
02/06/2017 06:51	4555
02/06/2017 07:00	2905
02/06/2017 07:10	3107
02/06/2017 07:20	2822
02/06/2017 07:29	3278
02/06/2017 07:39	3356
02/06/2017 07:48	3831
02/06/2017 07:58	3091
02/06/2017 08:07	3696
02/06/2017 08:17	3077
02/06/2017 08:27	3228
02/06/2017 08:36	1966
02/06/2017 08:46	2015
02/06/2017 08:55	1977
02/06/2017 09:05	1259
02/06/2017 09:14	1306
02/06/2017 09:24	1930
02/06/2017 09:34	1085
02/06/2017 09:43	1109
02/06/2017 09:53	1493
02/06/2017 10:02	1288
02/06/2017 10:12	1254
02/06/2017 10:21	1413
02/06/2017 10:31	1433
02/06/2017 10:41	1023
02/06/2017 10:50	1450
02/06/2017 11:00	1470
02/06/2017 11:09	1529
02/06/2017 11:19	1482
02/06/2017 11:28	1736
02/06/2017 11:38	2033
02/06/2017 11:48	1016
02/06/2017 11:57	2159
02/06/2017 12:07	2151
02/06/2017 12:16	1156
02/06/2017 12:26	905
02/06/2017 12:35	1347
02/06/2017 12:45	1171
02/06/2017 12:55	1167
02/06/2017 13:04	1375
02/06/2017 13:14	1351
02/06/2017 13:23	1117
02/06/2017 13:33	1205
02/06/2017 13:42	1036
02/06/2017 13:52	1221
02/06/2017 14:02	1261
02/06/2017 14:11	1427
02/06/2017 14:21	1429
02/06/2017 14:30	1334
02/06/2017 14:40	1372
02/06/2017 14:49	1469
02/06/2017 14:59	1634
02/06/2017 15:09	2074
02/06/2017 15:18	2748
02/06/2017 15:28	2744
02/06/2017 15:37	3488
02/06/2017 15:47	3462
02/06/2017 15:56	3111
02/06/2017 16:06	2472
02/06/2017 16:16	3726
02/06/2017 16:25	2173
02/06/2017 16:35	2685
02/06/2017 16:44	2471
02/06/2017 16:54	2444
02/06/2017 17:03	1565
02/06/2017 17:13	1684
02/06/2017 17:23	2000
02/06/2017 17:32	1906
02/06/2017 17:42	2376
02/06/2017 17:51	2938
02/06/2017 18:01	2725
02/06/2017 18:10	3189
02/06/2017 18:20	2837
02/06/2017 18:30	1811
02/06/2017 18:39	1751
02/06/2017 18:49	973
02/06/2017 18:58	2414
02/06/2017 19:08	1779
02/06/2017 19:17	2388
02/06/2017 19:27	2746
02/06/2017 19:37	3281
02/06/2017 19:46	2907
02/06/2017 19:56	3557
02/06/2017 20:05	3122
02/06/2017 20:15	3474
02/06/2017 20:24	4352
02/06/2017 20:34	4951
02/06/2017 20:44	5578
02/06/2017 20:53	5243
02/06/2017 21:03	5141
02/06/2017 21:12	4978
02/06/2017 21:22	5635
02/06/2017 21:31	5904
02/06/2017 21:41	5146
02/06/2017 21:51	4313
02/06/2017 22:00	4483
02/06/2017 22:10	4349
02/06/2017 22:19	3676
02/06/2017 22:29	3919
02/06/2017 22:38	2792
02/06/2017 22:48	2415
02/06/2017 22:58	1686
02/06/2017 23:07	2011
02/06/2017 23:17	1940
02/06/2017 23:26	2008
02/06/2017 23:36	1865
02/06/2017 23:45	1848
02/06/2017 23:55	1815
03/06/2017 00:05	2731
03/06/2017 00:14	2971
03/06/2017 00:24	2668
03/06/2017 00:33	2261
