5.32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.83	6.1	6.81	6.15	8.54	8.92	7.17	NaN	5.23	NaN	5.93	NaN
10.57	NaN	14.48	6.7	12.1	6.63	7.45	NaN	NaN	NaN	6.89	NaN
22.61	NaN	9.93	NaN	10.11	5.02	6.1	7.31	NaN	NaN	NaN	NaN
12.77	NaN	9.44	6.8	8.52	NaN	10.24	16.42	7.97	4.45	4.01	NaN
15.03	NaN	NaN	4.01	10	7.39	13.76	8.06	NaN	5.22	4.61	NaN
7.53	NaN	9.06	7.52	11.72	7.12	13.33	6.18	9.85	7.76	5.52	NaN
5.9	NaN	6.44	10.64	6.32	NaN	7.68	NaN	7.37	5.81	NaN	NaN
11.48	9.01	8.21	8.76	12.43	9.97	12.33	4.46	7.12	5.35	9.18	NaN
4.35	NaN	5.68	14.53	14.15	8.29	19.85	13.77	14.1	6.08	5.79	NaN
7.66	11.96	16.86	21.01	15.46	5.16	18.48	12.43	16.08	15.17	12.63	NaN
NaN	11.43	4.09	21.3	21.97	NaN	18.13	5.43	14.25	NaN	10.91	NaN
4.42	13.82	13.52	22.24	28.47	15.19	25.22	16.31	13.37	13.48	NaN	NaN
5.6	14.56	12.75	24.05	27.15	10.38	21.61	12.7	10.12	17.91	10.86	18.22
NaN	11.6	12.16	25.53	24.87	10.41	18.53	14.54	13.08	8.19	NaN	7
5.61	12.46	9.16	22.62	31.48	9.62	16.29	10.31	16.73	9.52	11.42	NaN
9.3	6.01	15.98	28.26	27.69	8.43	19.45	9.18	9.93	NaN	11.36	10.58
NaN	7.04	6.73	19.79	24.07	12.06	14.13	13.23	8.41	4.5	NaN	9.77
NaN	6.54	11.96	24.67	25.67	15.09	4.08	7.9	17.16	9.17	NaN	6.53
NaN	8.07	7.01	25.54	22.6	NaN	10.47	NaN	11.35	5.68	7.5	7.32
4.81	4.64	NaN	21.21	19.15	5.59	11.32	5.64	8.76	5.31	NaN	7.24
NaN	6.49	8.25	14.49	25.68	NaN	11.41	7.64	NaN	NaN	5.02	8.13
5.18	4.42	5.94	15.85	15.7	4.01	6.18	15.19	5.97	5.26	9.58	4.71
NaN	4.95	8.82	10.93	13.95	6.79	NaN	6.58	NaN	11.28	7.36	8.22
9.75	7.04	7.72	14.86	9.96	10.79	7.61	6.01	7.32	7.12	NaN	4.24
4.87	NaN	10.71	10.55	7.76	4.85	NaN	8.1	NaN	11.58	5.5	NaN
9.45	NaN	10.87	13.33	8.44	8.83	4.57	13.77	4.63	5.06	NaN	9.05
17.24	NaN	8.21	10	10.99	NaN	7.71	11.8	7.11	8.37	NaN	NaN
18.23	5.57	12.57	13.24	8.9	NaN	NaN	9.55	7.41	8.51	NaN	NaN
11.57	NaN	9.39	13.73	12.39	6.11	10.27	12.84	9.79	13.37	NaN	9.11
12.4	8.69	10.54	12.48	5.62	NaN	9.52	13.94	4.64	7.29	NaN	4.63
7.07	NaN	12.98	18.58	10.75	NaN	10.28	17.85	NaN	9.78	NaN	NaN
11.89	6.21	11.33	14.46	15.26	6.73	10.09	12.4	11.25	NaN	10.01	5.37
9.74	7.52	13.15	19.11	8.91	6.15	13.42	13.35	10.85	10.73	NaN	NaN
8.15	14.38	13.13	20.97	10.11	5.81	13.37	16.61	11.44	16.23	16.17	13.34
6.52	17.65	9.01	24.87	20.45	14.47	18.09	8.05	14.11	12.73	4.05	11.66
8.07	14.8	10.51	28.96	18.4	11.39	16.01	16.88	9.71	11.6	11.85	8.48
NaN	16.35	12.8	32.56	18.93	8.54	16.39	17.81	14.77	11.54	8.51	NaN
4.72	10.68	10.36	30.08	16.78	9.09	11.56	17.76	6.97	8.58	12.43	NaN
NaN	8.19	18.83	29.35	15.07	9.55	15.35	17.51	11.2	7.21	5.27	NaN
7.24	5.01	11.18	27.01	17.45	10.61	8.02	9.75	9.85	NaN	7.02	NaN
5.99	7.17	10.51	22.33	15.58	12.03	16.1	NaN	12.31	15.98	5.93	11.74
NaN	5.56	12.01	17	18.49	7.3	15.5	7.7	NaN	5.33	8.34	10.87
4.44	4.18	5.24	17.57	17.76	7.35	10.84	11.52	NaN	7.86	4.25	NaN
NaN	6.35	NaN	11.06	13.78	NaN	NaN	17.62	NaN	11.87	NaN	5.12
NaN	NaN	8.76	9.42	16.33	NaN	NaN	11.19	8	NaN	NaN	9.22
4.16	5.59	10.46	NaN	11.08	NaN	5.94	9.67	6.17	8.4	6.82	8.58
NaN	6.22	11.57	NaN	NaN	NaN	4.19	13.39	NaN	NaN	7.55	4.37
11.98	8.53	10.91	NaN	7.82	NaN	6.58	13.22	NaN	5.58	NaN	8.96
5.74	NaN	8.15	7.37	NaN	6.07	10.84	11.74	NaN	12.25	6.48	8.98
13.54	7.3	7.9	NaN	4.28	NaN	4.6	7.07	6.14	11.3	NaN	8.44
13.87	5.72	9.14	8.09	6.77	NaN	8.57	9.02	4.77	7.33	5.34	5.95
13.08	4.82	8.69	4	7.77	6.78	10.5	5.87	4.86	10.26	NaN	12.21
9.26	5.26	11	4.26	6.97	6.93	11.03	6.29	NaN	18.41	5.38	NaN
NaN	NaN	9.37	NaN	7.52	6.22	10.52	NaN	5.22	6.2	NaN	11
NaN	5.85	11.63	4.44	NaN	NaN	13.12	4.68	9.06	11.26	NaN	5.44
4.47	9.64	14.04	NaN	5.3	8.91	12.3	NaN	NaN	14.59	NaN	6.02
8.02	13.88	15.14	5.8	10.08	8.69	10.8	5.17	7.31	15.87	9.02	7.82
7.74	20.23	12.98	11.15	11.19	8.49	21.53	5.39	8.88	12.56	10.76	14.61
8.68	14.26	30.5	NaN	15.57	8.9	8.76	11.49	12.98	19.83	11.43	16.51
5.84	19.63	14.37	8.89	13.54	7.8	19.38	9.51	4.84	7.47	8.33	9.71
7.27	20.27	14.69	10.7	16.74	8.68	16.22	8.26	8.3	9.91	10.19	6.36
4.94	14.94	7.43	7.87	14.86	11.44	13.36	11.36	9.67	12.69	5.06	9.14
NaN	12.22	9.14	7.96	12.78	4.2	12.97	14.56	NaN	NaN	8.58	4.32
NaN	12.04	5.44	5.61	15.75	5.09	13.31	NaN	12.41	9.34	6.02	NaN
NaN	12.66	7.11	6.03	24.37	7.2	19.32	5.1	NaN	5.16	NaN	NaN
NaN	13.22	8.91	5.08	12.54	NaN	23.45	NaN	14.72	11.61	6.98	6.55
NaN	12.06	8.28	NaN	9.61	NaN	10.64	7.09	NaN	NaN	NaN	7.42
NaN	11.25	20.03	8.15	8.48	5.23	NaN	NaN	NaN	6.2	NaN	8.17
NaN	12.43	13.64	5.23	8.89	5.9	4.22	7.13	NaN	NaN	NaN	14.01
NaN	12.3	8.62	6.27	6.42	NaN	NaN	6.89	5.79	10.5	7.95	NaN
6.13	12.56	14.51	NaN	5.02	5.49	15.12	NaN	9.22	9.34	6.76	7.53
NaN	8.71	14.04	4.7	10.17	5.98	10.63	8.62	6.13	6.29	NaN	5.32
5.88	11.69	15.6	NaN	7.75	NaN	10.05	NaN	4.68	5.76	6.04	6.88
NaN	11.62	13.29	5.52	8.19	NaN	11.45	4.01	NaN	NaN	4.3	6.91
9.52	20.68	12.6	4.44	7.11	NaN	9.85	NaN	NaN	10.52	NaN	6.12
7.49	16.98	13.69	9.27	6.24	NaN	12.18	9.82	5.65	15.85	6.5	5.54
11.78	10.89	8.5	NaN	8.03	6.94	8.38	9.65	NaN	19.56	NaN	NaN
NaN	NaN	6.62	8.86	4.34	NaN	11.27	7.45	NaN	19.35	6.33	6.18
5.85	9.26	12.69	NaN	5.73	NaN	6.74	11.32	NaN	22.23	NaN	4.33
NaN	11.73	5.67	8.56	12.29	6.9	7.85	13.27	9.38	20.83	7.47	11.45
4.41	9	13.22	12.82	12.9	8.43	13.14	9.89	5.85	11.78	NaN	5.06
7.87	19.33	14.24	NaN	17.86	10.14	10.96	13.89	8.44	14.52	NaN	12.3
NaN	22.46	10.2	NaN	26.15	15.27	13.88	9.95	18.87	11.62	NaN	9.38
9.59	20.15	13.37	17.56	17.19	13.82	10.13	14.89	9.39	12.41	9.67	11.94
10.91	19.86	9.47	26.43	14.9	13.46	8.99	18.33	10.21	12.92	6.38	5.39
8.96	16.57	8.03	12.52	16.59	NaN	9.38	19.76	10.47	8.21	9.27	NaN
7.37	15.19	12.89	5.84	14.65	7.86	9.44	5.63	9.91	NaN	NaN	7.57
8.09	6.25	6	12.02	15.51	6.26	NaN	4.39	NaN	5.55	7.84	NaN
NaN	NaN	NaN	NaN	NaN	9.43	10.38	NaN	NaN	NaN	NaN	NaN
NaN	NaN	8.77	NaN	NaN	127.45	21.65	NaN	10.2	NaN	5.75	5.61
NaN	NaN	NaN	NaN	11.25	34.42	NaN	NaN	4.72	NaN	NaN	NaN
NaN	9.6	7.03	NaN	15.74	4.84	NaN	NaN	6.15	7.08	5.31	NaN
NaN	7.92	8.65	NaN	19.73	NaN	NaN	NaN	6.01	NaN	NaN	7.92
8.12	7.33	12.12	NaN	12.04	5.78	NaN	5.86	4.3	7.91	7.25	5.76
NaN	10.83	5.52	4.82	13.39	18.36	NaN	NaN	6.74	6.19	5.27	NaN
NaN	NaN	6.12	NaN	9.81	8.88	NaN	7.4	NaN	6.78	4.89	NaN
5.79	NaN	7.05	NaN	10.85	16.64	5.65	NaN	8.01	NaN	NaN	5.38
NaN	7.89	5	NaN	10.3	14.1	5.27	7.21	9.39	4.53	NaN	NaN
13.44	NaN	8.77	5.21	16.79	12.52	NaN	5.57	6.39	NaN	6.26	NaN
8.06	4.62	5.33	NaN	7.4	11.56	6.74	NaN	NaN	6.59	NaN	NaN
