Time	NO2	NO	NOX	Etiquetas de columna	Promedio de NO2	12 a. m.	4.197826087																																																																											
01/04/2017 00:00	NaN	NaN	0			01 a. m.	4.306451613	Etiquetas de columna																																																																										
01/04/2017 01:00	NaN	NaN	0			02 a. m.	4.509090909	Promedio de NO2																								Promedio de NO																								Promedio de NOX																								Total Promedio de NO2	Total Promedio de NO	Total Promedio de NOX
01/04/2017 02:00	NaN	NaN	0			03 a. m.	4.15	12 a. m.	01 a. m.	02 a. m.	03 a. m.	04 a. m.	05 a. m.	06 a. m.	07 a. m.	08 a. m.	09 a. m.	10 a. m.	11 a. m.	12 p. m.	01 p. m.	02 p. m.	03 p. m.	04 p. m.	05 p. m.	06 p. m.	07 p. m.	08 p. m.	09 p. m.	10 p. m.	11 p. m.	12 a. m.	01 a. m.	02 a. m.	03 a. m.	04 a. m.	05 a. m.	06 a. m.	07 a. m.	08 a. m.	09 a. m.	10 a. m.	11 a. m.	12 p. m.	01 p. m.	02 p. m.	03 p. m.	04 p. m.	05 p. m.	06 p. m.	07 p. m.	08 p. m.	09 p. m.	10 p. m.	11 p. m.	12 a. m.	01 a. m.	02 a. m.	03 a. m.	04 a. m.	05 a. m.	06 a. m.	07 a. m.	08 a. m.	09 a. m.	10 a. m.	11 a. m.	12 p. m.	01 p. m.	02 p. m.	03 p. m.	04 p. m.	05 p. m.	06 p. m.	07 p. m.	08 p. m.	09 p. m.	10 p. m.	11 p. m.			
01/04/2017 03:00	NaN	NaN	0			04 a. m.	4.082608696	4.197826087	4.306451613	4.509090909	4.15	4.082608696	3.662	4.726428571	5.719135802	4.586131387	3.52987013	6.891666667	5.29375	12.66875	4.9625	3.4125	3.70625	5.156818182	4.889285714	5.203703704	5.786956522	6.00546875	5.495867769	4.709803922	4.342424242	2.566666667	3.833333333	5.183333333	4.833333333	4.644444444	4.3875	4.456	5.251923077	4.446385542	10.98636364	46.41666667	113.1571429	365.9	399.2	107.3142857	75.08	31.23333333	4.3	3.733333333	4.5	4.72	5.454545455	4.375	5.74	0.65620915	0.511437908	0.425816993	0.467647059	0.443464052	0.713071895	2.526470588	5.705228758	4.465359477	2.467973856	2.631045752	2.865359477	3.053921569	1.564052288	2.633333333	1.614379085	1.047712418	0.922875817	1.414052288	2.233660131	2.666339869	2.369281046	1.684313725	1.030392157	5.052793834	12.19433594	1.921391612
01/04/2017 04:00	NaN	NaN	0			05 a. m.	3.662																																																																											
01/04/2017 05:00	NaN	NaN	0			06 a. m.	4.726428571																																																																											
01/04/2017 06:00	NaN	NaN	0			07 a. m.	5.719135802																																																																											
01/04/2017 07:00	NaN	NaN	0			08 a. m.	4.586131387																																																																											
01/04/2017 08:00	NaN	NaN	0			09 a. m.	3.52987013																																																																											
01/04/2017 09:00	NaN	NaN	0			10 a. m.	6.891666667																																																																											
01/04/2017 10:00	NaN	NaN	0			11 a. m.	5.29375																																																																											
01/04/2017 11:00	NaN	NaN	0			12 p. m.	12.66875																																																																											
01/04/2017 12:00	NaN	NaN	0			01 p. m.	4.9625																																																																											
