Fecha	UFP	T	WS	RH	O3	NO2	PAH			NOX	UFP	
22/04/2017 10:02	4919	29.837	1.3826	54.931	34.877	NaN	11.73913			3	7331.15	-1
22/04/2017 10:12	3822	29.531	0.9754	54.758	36.977	NaN	10.297297			3.1	2569.84	
22/04/2017 10:22	5443	29.951	1.1953	52.505	37.563	NaN	10.424658					
22/04/2017 10:31	5480	29.658	1.7182	53.013	40.773	NaN	10.913043					
22/04/2017 10:41	5544	30.453	1.7147	51.05	42.076	NaN	9.652174					
22/04/2017 10:50	6840	31.16	1.5167	48.786	43.571	NaN	9.753846					
22/04/2017 11:00	7486	31.597	1.1253	45.832	39.293	NaN	10					
22/04/2017 11:09	7762	31.753	1.8303	45.31	41.621	NaN	10.028571					
22/04/2017 11:19	8460	32.073	1.3911	43.811	45.964	NaN	10.672131					
22/04/2017 11:29	9833	31.558	1.7002	45.017	47.592	NaN	9.871429					
22/04/2017 11:38	11028	32.126	0.9644	43.727	48.69	NaN	10.272727					
22/04/2017 11:48	12292	32.722	2.5234	43.065	48.276	NaN	10.144928					
22/04/2017 11:57	13241	32.671	1.5685	42.7	48.621	NaN	9.925373					
19/06/2017 10:02	3362	30.69	3.7733	65.877	15.402	NaN	9.575758					
19/06/2017 10:11	5297	30.819	3.9817	65.672	15.174	NaN	8.920635					
19/06/2017 10:21	1336	31.331	3.6756	63.489	15.373	NaN	7.971014					
19/06/2017 10:31	689	30.954	3.7213	65.044	15.246	2.01	8.753846					
19/06/2017 10:40	907	30.352	4.2345	67.614	14.323	2.21	8.6					
19/06/2017 10:50	2250	30.958	4.0656	65.712	15.561	NaN	9.483871					
19/06/2017 10:59	2037	31.864	3.9148	62.766	15.873	NaN	10.421875					
19/06/2017 11:09	1026	31.81	3.8422	62.882	15.705	2.05	9.171429					
19/06/2017 11:18	1249	31.161	5.2265	65.159	15.355	2.01	9.608696					
19/06/2017 11:28	1029	30.668	4.6502	66.891	15.342	NaN	8.597015					
19/06/2017 11:38	1472	31.066	3.5324	65.29	15.72	NaN	9.451613					
19/06/2017 11:47	1330	31.45	4.9908	63.713	16.277	NaN	8.15493					
19/06/2017 11:57	2558	31.799	5.1296	62.008	17.12	NaN	9.264706					
30/07/2017 10:01	3742	32.234	1.175	60.038	19.664	NaN	10.102941					
30/07/2017 10:11	4091	31.803	1.2874	59.557	20.661	NaN	10.873016					
30/07/2017 10:20	2812	32.029	1.0411	58.052	22.117	NaN	9.522388					
30/07/2017 10:30	2936	32.754	0.9566	56.723	23.823	NaN	9.552239					
30/07/2017 10:40	3826	33.299	1.5313	54.187	23.295	NaN	8.925373					
30/07/2017 10:49	4064	33.129	1.4187	53.913	25.014	NaN	9.412698					
30/07/2017 10:59	4499	33.495	1.1576	52.481	26.518	NaN	8.705882					
30/07/2017 11:08	3960	33.461	0.9183	51.589	27.391	NaN	9.309859					
30/07/2017 11:18	4557	33.563	1.2641	51.898	28.311	NaN	8.787879					
30/07/2017 11:27	4840	33.556	1.5159	50.749	27.933	NaN	9.211268					
30/07/2017 11:37	5148	33.777	1.1414	49.678	31.161	NaN	9					
30/07/2017 11:47	4897	34.068	2.0035	49.2	32.182	NaN	10.3125					
30/07/2017 11:56	6269	34.041	1.5498	47.483	32.482	NaN	10.365079					
19/08/2017 10:01	6321	31.848	1.4865	57.944	29.95	NaN	9.333333					
19/08/2017 10:11	7627	31.863	0.9922	55.647	30.84	NaN	8.970149					
19/08/2017 10:20	7555	32.304	1.8013	54.165	32.385	NaN	10.21875					
19/08/2017 10:30	6289	32.042	0.7784	55.18	35.231	NaN	9.984848					
19/08/2017 10:39	4901	32.327	1.9605	53.374	33.482	NaN	9.738462					
19/08/2017 10:49	5056	32.683	2.2197	51.773	32.065	NaN	10.153846					
19/08/2017 10:58	4916	32.995	2.3263	49.078	28.291	NaN	9.073529					
19/08/2017 11:08	5384	33.231	1.9629	48.444	26.754	NaN	10.25					
19/08/2017 11:18	4612	33.554	1.6284	48.927	28.94	NaN	8.850746					
19/08/2017 11:27	5863	33.184	2.5034	49.635	27.874	NaN	9.333333					
19/08/2017 11:37	6865	33.317	1.6996	47.733	26.801	NaN	9.119403					
19/08/2017 11:46	13736	33.293	1.3947	47.857	27.547	NaN	9.318841					
19/08/2017 11:56	16180	33.76	2.0699	48.841	27.103	NaN	9.560606					
30/09/2017 10:01	2219	29.075	3.3719	75.704	12.589	NaN	9.661765					
30/09/2017 10:11	2662	29.246	3.1639	74.393	14.338	NaN	8.768116					
30/09/2017 10:20	2883	29.532	3.374	72.949	15.054	NaN	10.15942					
30/09/2017 10:30	3900	29.983	3.631	71.052	15.452	NaN	10.171875					
30/09/2017 10:39	2892	30.058	3.9521	70.72	15.643	NaN	9.939394					
30/09/2017 10:49	2164	30.307	3.4134	69.279	15.963	NaN	10.05					
30/09/2017 10:59	1865	30.382	2.9684	68.565	16.085	NaN	9.716418					
30/09/2017 11:08	1973	30.747	2.6867	67.011	16.917	NaN	8.1875					
30/09/2017 11:18	2720	31.473	2.06	65.185	17.128	NaN	9.714286					
30/09/2017 11:27	2677	30.89	3.325	66.437	16.243	NaN	8.521739					
30/09/2017 11:37	3673	30.696	2.1213	66.659	17.832	NaN	9.8125					
30/09/2017 11:46	2783	31.563	2.0545	63.407	19.71	NaN	8.953846					
30/09/2017 11:56	997	31.869	1.5054	62.057	20.598	NaN	10.36923					
