Fecha	UFP	T	WS	RH	O3	NO2
19/05/2018 05:03	948	23.701	3.3736	91.41	6.503	2.233
19/05/2018 05:12	967	23.787	4.4488	91.21	7.122	2.241667
19/05/2018 05:22	940	23.723	3.674	91.19	6.324	3.088
19/05/2018 05:31	1152	23.689	3.7791	91.29	5.728	3.656
19/05/2018 05:41	1012	23.744	3.5313	90.97	5.42	3.999
19/05/2018 05:50	740	23.741	3.8017	90.72	5.621	3.72
19/05/2018 06:00	1064	23.905	3.4762	90.1	5.673	3.768
19/05/2018 06:10	1101	24.177	3.323	88.91	5.96	3.707
19/05/2018 06:19	1213	24.567	3.3629	87.33	6.457	3.907
19/05/2018 06:29	1555	24.922	3.4135	85.64	7.169	3.67
19/05/2018 06:38	2008	25.156	3.6463	84.59	8.395	3.361
19/05/2018 06:48	2549	25.362	4.6048	83.57	9.537	3.201
19/05/2018 06:58	2321	25.564	4.4847	82.83	9.359	3.459
30/05/2018 05:08	1003	25.374	2.3957	92.41	5.228	3.668
30/05/2018 05:18	893	25.389	2.3191	92.47	4.137	4.45
30/05/2018 05:27	868	25.319	2.0945	92.61	3.925	3.883
30/05/2018 05:37	1010	25.272	2.142	92.82	4.322	4.125
30/05/2018 05:46	969	25.314	2.5278	92.97	3.559	4.678
30/05/2018 05:56	1206	25.45	2.1323	92.76	3.203	5.389
30/05/2018 06:06	1451	25.64	2.723	92.16	3.246	5.789
30/05/2018 06:15	1893	25.792	3.3675	91.54	3.677	5.338
30/05/2018 06:25	2662	26.023	2.9846	90.8	3.786	5.404
30/05/2018 06:34	2993	26.179	3.3613	90	3.756	5.82
30/05/2018 06:44	2741	26.144	4.0517	90.09	3.775	5.217
30/05/2018 06:54	2863	26.026	3.9959	90.72	4.443	4.236
15/06/2018 05:04	789	23.271	3.0046	89.18	8.087	3.253
15/06/2018 05:14	898	23.319	3.044	90.34	7.349	2.974
15/06/2018 05:23	802	23.326	2.7772	91.12	6.227	3.637
15/06/2018 05:33	842	23.332	2.8631	91.7	6.115	3.499
15/06/2018 05:43	1102	23.329	2.7097	92.02	5.68	4
15/06/2018 05:52	1175	23.391	2.6704	92.07	5.367	4.266
15/06/2018 06:02	1541	23.491	2.6886	91.91	5.219	4.372
15/06/2018 06:11	1244	23.633	2.0906	91.44	5.232	4.376
15/06/2018 06:21	1424	23.793	2.9673	90.37	5.204	4.976
15/06/2018 06:30	1506	24.002	3.4524	88.19	6.2	5.282
15/06/2018 06:40	1368	24.283	3.8408	85.63	6.866	5.393
15/06/2018 06:50	2313	24.656	3.3397	83.45	7.196	5.665
15/06/2018 06:59	2032	25.378	4.665	79.796	8.162	5.891
