Fecha	UFP	T	WS	RH	O3	NO2			NOX	UFP	
25/07/2017 18:00	2061	23.781	1.8009	90.67	2.14	9.44			3.2	1775.58	0.658521199
25/07/2017 18:10	4531	23.874	0.7727	90.25	4.034444	11.22			3.4	1816	
25/07/2017 18:19	4275	23.947	1.4417	89.41	4.848	11.01			7.66	4148.15	
25/07/2017 18:29	4637	24.084	1.2234	89.3	4.517	12.19			8.95	6830.41	
25/07/2017 18:38	5368	24.046	1.5385	89.34	6.759	13.75			20.33	5417.69	
25/07/2017 18:48	6743	24.189	1.7802	90.24	3.082222	14.29					
25/07/2017 18:58	7318	24.279	2.1035	87.95	4.834	16.34					
25/07/2017 19:07	8797	24.278	1.9549	86.67	8.173	11.43					
25/07/2017 19:17	8737	24.178	2.2056	85.36	12.007	12.61					
25/07/2017 19:26	12649	24.114	1.1594	85.79	11.127	19.32					
25/07/2017 19:36	8420	24.105	1.1114	86.3	10.833	8.05					
25/07/2017 19:45	8429	24.089	1.0696	86.92	9.703	8.33					
01/09/2017 18:00	1662	24.112	0.8584	96.31	12.527	NaN					
01/09/2017 18:09	1575	24.096	1.4272	96.07	11.712	2.34					
01/09/2017 18:19	1144	23.747	2.5193	94.62	13.97	NaN					
01/09/2017 18:28	1338	23.572	1.742	94.43	14.451	NaN					
01/09/2017 18:38	1277	23.62	2.0836	93.9	13.626	3.073333					
01/09/2017 18:48	1677	23.843	1.8929	94.05	9.719	5.787					
01/09/2017 18:57	1849	23.832	0.9247	93.94	10.265	4.816					
01/09/2017 19:07	1943	23.78	0.4262	93.43	11.66	2.916667					
01/09/2017 19:16	1850	23.786	0.3343	93.32	11.073	2.846667					
01/09/2017 19:26	2000	24.093	0.725	91.44	12.493	2.844					
01/09/2017 19:35	1758	24.411	0.7853	91.31	8.641	5.958					
01/09/2017 19:45	2523	24.38	0.7836	92.37	8.743	4.793					
01/09/2017 19:54	3012	24.518	1.1737	92.64	4.679	10.432					
18/06/2017 18:01	1302	25.865	3.0341	91.49	5.946	NaN					
18/06/2017 18:10	1675	25.639	2.9142	92.09	3.516	2.443333					
18/06/2017 18:20	1447	25.534	2.0373	92.33	3.069	3.673					
18/06/2017 18:29	1646	25.664	0.9632	92.13	2.521111	4.318					
18/06/2017 18:39	1660	25.855	1.9188	91.84	NaN	6.919					
18/06/2017 18:49	1536	25.648	1.434	92.23	2.73	3.582					
18/06/2017 18:58	1753	25.613	0.4862	92.64	2.456667	3.426					
18/06/2017 19:08	1954	25.616	0.4669	92.76	2.3225	3.194444					
18/06/2017 19:17	2376	25.924	0.973	92.7	NaN	5.403					
18/06/2017 19:27	2135	26.152	0.7959	91.74	NaN	5.939					
18/06/2017 19:36	2111	26.316	1.0703	91.19	2.17	6.396					
18/06/2017 19:46	1712	26.383	1.3735	91.4	NaN	6.06					
01/06/2018 18:00	3915	26.5	1.5705	72.973	2.913	20.354					
01/06/2018 18:10	5108	26.328	2.0777	72.832	3.366	20.644					
01/06/2018 18:19	3049	26.445	1.9186	71.342	3.272	20.46					
01/06/2018 18:29	3066	26.536	1.2559	71.667	3.04	20.28					
01/06/2018 18:38	3520	26.568	1.2193	72.173	2.3575	20.565					
01/06/2018 18:48	4055	26.61	0.8932	73.46	NaN	21.262					
01/06/2018 18:57	5144	26.559	1.2099	73.762	2.095	20.362					
01/06/2018 19:07	6369	26.607	2.0615	72.345	2.794444	18.007					
01/06/2018 19:17	6598	26.696	1.4466	71.825	2.878333	18.542					
01/06/2018 19:26	6876	26.802	1.7597	72.867	2.5025	18.581					
01/06/2018 19:36	7474	27.043	2.7479	73.061	3.614	16.145					
01/06/2018 19:45	7200	27.214	2.6273	73.116	5.218	12.874					
01/06/2018 19:55	8056	27.249	2.4831	73.009	7.115	9.654					
23/06/2018 18:03	5138	25.292	1.7817	93.06	NaN	6.684					
23/06/2018 18:13	4968	25.195	1.4261	93.64	NaN	6.556					
23/06/2018 18:22	4759	25.119	1.6805	93.84	NaN	7.923					
23/06/2018 18:32	5475	24.999	2.089	94.02	NaN	6.89					
23/06/2018 18:41	4283	24.785	1.5543	94.35	NaN	5.541					
23/06/2018 18:51	3962	24.645	1.0335	94.44	NaN	4.893					
23/06/2018 19:01	4170	24.782	1.636	94.58	NaN	5.835					
23/06/2018 19:10	4604	24.817	2.2815	94.39	NaN	4.222					
23/06/2018 19:20	4122	24.683	2.4332	94.25	NaN	4.064					
23/06/2018 19:29	4076	24.659	2.1445	94.25	NaN	4.376					
23/06/2018 19:39	3507	24.695	2.0249	94.62	NaN	5.682					
23/06/2018 19:48	2649	24.842	1.8509	94.71	NaN	8.069					
23/06/2018 19:58	2213	25.067	2.073	94.78	NaN	7.794					
